Time (s),Extension (mm),Load (N),Tensile strain (mm/mm)
29.5,2.45762,7986.1084,0.01839
29.6,2.46606,8010.22412,0.01845
29.7,2.4745,8030.46143,0.01851
29.8,2.48287,8041.53027,0.01857
29.9,2.49094,8055.96631,0.01864
30,2.49937,8071.57373,0.01871
30.1,2.50781,8083.03662,0.01878
30.2,2.51581,8089.38428,0.01885
30.3,2.52431,8104.36816,0.01892
30.4,2.53281,8117.22559,0.01899
30.5,2.54106,8124.07666,0.01906
30.6,2.54944,8136.48096,0.01913
30.7,2.55781,8146.82324,0.01921
30.8,2.56606,8150.45996,0.01928
30.9,2.57412,8162.05615,0.01935
31,2.5825,8172.60742,0.01943
31.1,2.59119,8184.99268,0.0195
31.2,2.59937,8193.49707,0.01958
31.3,2.60781,8203.31348,0.01965
31.4,2.61619,8213.77832,0.01973
31.5,2.62419,8217.20703,0.0198
31.6,2.63262,8231.76465,0.01987
31.7,2.641,8242.68262,0.01995
31.768,2.6465,8243.29297,0.02
31.77,2.64669,8243.39258,0.02
31.87,2.65112,8221.8252,0.02004
31.97,2.65087,8115.41064,0.02004
32.07,2.6505,8053.61865,0.02003
32.17,2.65006,8009.54346,0.02003
32.27,2.64969,7975.09766,0.02003
32.37,2.64944,7949.11084,0.02002
32.47,2.64925,7929.65283,0.02002
32.57,2.64912,7913.6582,0.02002
32.67,2.64906,7900.80078,0.02002
32.77,2.64906,7890.09766,0.02002
32.87,2.64906,7880.70117,0.02002
32.97,2.64906,7872.4624,0.02002
33.07,2.64906,7864.83057,0.02002
33.17,2.649,7857.96484,0.02002
33.27,2.649,7851.64697,0.02002
33.37,2.649,7846.03809,0.02002
33.47,2.649,7840.47412,0.02002
33.57,2.649,7835.47705,0.02002
33.67,2.649,7830.63037,0.02002
33.77,2.649,7826.37012,0.02002
33.87,2.649,7821.93164,0.02002
33.97,2.649,7818.05225,0.02002
34.07,2.649,7814.11621,0.02002
34.17,2.649,7810.63965,0.02002
34.27,2.649,7807.31738,0.02002
34.37,2.649,7803.89844,0.02002
34.47,2.649,7800.70654,0.02002
34.57,2.649,7797.70068,0.02002
34.67,2.649,7794.98877,0.02002
34.77,2.649,7791.92236,0.02002
34.87,2.649,7789.01807,0.02002
34.97,2.649,7786.5293,0.02002
35.07,2.649,7783.91357,0.02002
35.17,2.649,7781.63672,0.02002
35.27,2.649,7779.06055,0.02002
35.37,2.649,7776.85547,0.02002
35.47,2.649,7774.77637,0.02002
35.57,2.649,7772.62744,0.02002
35.67,2.649,7770.48926,0.02002
35.77,2.649,7768.27637,0.02002
35.87,2.649,7766.38818,0.02002
35.97,2.649,7764.35303,0.02002
36.07,2.649,7762.56836,0.02002
36.17,2.649,7760.66797,0.02002
36.27,2.649,7758.92285,0.02002
36.37,2.649,7757.29248,0.02002
36.47,2.649,7755.76758,0.02002
36.57,2.649,7754.09961,0.02002
36.67,2.649,7752.41943,0.02002
36.77,2.649,7750.88574,0.02002
36.87,2.649,7749.31543,0.02002
36.97,2.649,7747.95264,0.02002
37.07,2.649,7746.54834,0.02002
37.17,2.649,7744.9834,0.02002
37.27,2.649,7743.53613,0.02002
37.37,2.649,7742.27979,0.02002
37.47,2.649,7741.13916,0.02002
37.57,2.649,7739.76904,0.02002
37.67,2.649,7738.49268,0.02002
37.77,2.649,7737.104,0.02002
37.87,2.649,7735.92822,0.02002
37.97,2.649,7734.74707,0.02002
38.07,2.649,7733.58789,0.02002
38.17,2.649,7732.3584,0.02002
38.27,2.649,7731.52344,0.02002
38.37,2.649,7730.13818,0.02002
38.47,2.649,7729.0332,0.02002
38.57,2.649,7728.03711,0.02002
38.67,2.649,7726.96875,0.02002
38.77,2.649,7726.05664,0.02002
